id,real,type,repo,commit_hash,component,symptom,bug_pattern,comment,localization
1,bug,Classical,Qiskit/qiskit-ignis,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666,Quantum State Evaluation,"Crash - OS/PL Error, Crash",Missing Error Handling,"From fixer: ""Currently, cvx_fit does not check the success of the prob.solve() call. When the solver fails, this results in a crash on the following line: rho_fit = rho_r.value + 1j * rho_i.value""",https://github.com/Qiskit/qiskit-ignis/commit/ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666#diff-e2525ea28db198eda36e83fc8074d68fb728378534d6f4f330289a6ca18086adL237
10,bug,Quantum,Qiskit/qiskit-ignis,e696fee3e52550f50fb240a4c6356c61c9f01725,Quantum State Evaluation,Incorrect Output,Incorrect Numerical Computation,"Reporter: ""ignis.characterization.calibrations.ibmq_utils.update_u_gates creates Y90 pulse with opposite sign.""",https://github.com/Qiskit/qiskit-ignis/commit/e696fee3e52550f50fb240a4c6356c61c9f01725#diff-2a884201dce8ac4468f6bf66ae6091664c8a66bab76c97bccf0d6ac597029c59L143
1010,bug,Quantum,Qiskit/qiskit-aer,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac,Optimizations,"Crash - Application Error, Crash",Barrier Related,"Fixer: ""Currently qubit truncation will fail for circuits containing barriers across inactive qubits. This fixes the order of circuit transpilation passes to apply the remove barrier pass before the qubit truncation pass.""",https://github.com/Qiskit/qiskit-aer/commit/dc7a2413e6c373455c00cff51e37eaaa17a4a7ac#diff-c9a13717234ebfba6539c57ee98ba70e7e7342f5fc674c687844cafe3b8c28b6L635
1012,bug,Classical,Qiskit/qiskit-aer,7de864cc989b354d0ad1febbd62b891270927b6b,Testing,Failing Test,"Flaky Test, Misconfiguration, Misconfiguration - Testing","Fix issue where the ""diagonal"" gate is checked to be unitary with too high a tolerance. This was causing diagonals generated from Numpy functions to often fail the test.",https://github.com/Qiskit/qiskit-aer/commit/7de864cc989b354d0ad1febbd62b891270927b6b#diff-0ec98cd3d26f20d8043a4438fcd3fd0fb822b1821685e2f0f3e10225d30c6e00L684
1019,bug,Quantum,Qiskit/qiskit-aer,f3b4303f478ff84bf8da15761827287d3a2f16e4,Simulator,Incorrect Output,"API Misuse - Internal, Typo","Fixer: ""The new Diagonal terra gate was being applied incorrectly using the base statevector method due to a typo"". They used ""apply_diagonal_matrix"" method instead of ""apply_diagonal_unitary_matrix""",https://github.com/Qiskit/qiskit-aer/commit/f3b4303f478ff84bf8da15761827287d3a2f16e4#diff-5f6b16f942dc80c497e01de060995ec2abff8179936feb9201e13bdf3df82b94L413
1022,bug,Quantum,Qiskit/qiskit-aer,0eab74b57f2704ad0893132b6c5f214603550c39,Quantum Abstractions,Incorrect Output,Incorrect IR - Wrong Information,"Fixer: ""The matrix to be applied by apply_matrix in cz gate was wrong, diagonal elements should be set to 1 but set to 0.
Also the matrix set in y gate was wrong, I created separate kernel for y gate.""",https://github.com/Qiskit/qiskit-aer/commit/0eab74b57f2704ad0893132b6c5f214603550c39#diff-81221ac82f0770f3e89d2aa2c9906260156cf469b138f992a2fff64d548041d7L445
104,bug,Classical,PennyLaneAI/pennylane,01196202394aed89f43d3044d64eb9e41f7d583c,Quantum Abstractions,Inefficiency,Type Problem,"Fixer: ""Fixed a bug within `default.qubit`, resulting in greater efficiency when applying a state vector to all wires on the device."" Bug-fix: ""The issue is simply that device_wires.labels is an n-tuple, e.g., (0, 1, 2), while sorted(device_wires.labels) is a list, e.g., [0, 1, 2]""",https://github.com/PennyLaneAI/pennylane/commit/01196202394aed89f43d3044d64eb9e41f7d583c#diff-72e7232d651d76d254dab15a95333df4bb84bff812c08bcee97444dd83357803L417
1057,bug,Classical,Qiskit/qiskit-aer,48498dd0edc4e1ed1ee4bb287edd89541af104b2,"Quantum Abstractions, Simulator","Incorrect Final Measurement, Incorrect Output",Overlooked Corner Case,"Fixer: ""Fixes a bug that resulted in `c_if` not working when the width of the conditional register was greater than 64."" Reporter: ""Added fix for bug where executing conditional instruction with c_if on the BasicAer backend either resulted in a crash or incorrect result for registers larger than or equal to 64-bits.""",https://github.com/Qiskit/qiskit-aer/commit/48498dd0edc4e1ed1ee4bb287edd89541af104b2#diff-dc5d920ceea1d4c5245ddb76ac5795c314b4cfc9405f2bcde7f67927100d161cR1030
1067,bug,Quantum,Qiskit/qiskit-aer,72674296de7de6cfdf812595be33a2f6f637a29f,"Simulator, Quantum State Evaluation","Incorrect Final Measurement, Incorrect Output",Wrong Concept,"From bug-reporter: ""When measuring on a subset of the qubits, when converting the sampled measurement to register form, the result was widened to all qubits in the call to int2reg. The gives incorrect results in the final register. Instead, we should only widen to the number of measured qubits.""",https://github.com/Qiskit/qiskit-aer/commit/72674296de7de6cfdf812595be33a2f6f637a29f#diff-1dafa86df654b95bcc85315b20159aa241131e31748e5fb2fc80036b78764990L976
107,bug,Quantum,PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192,Domain-specific Abstractions,"Crash - Application Error, Crash","Type Problem, GPU related","Fixer: ""Fixes a bug which prevents `TorchLayer` from doing `backward` when CUDA is enabled""",https://github.com/PennyLaneAI/pennylane/commit/474f337b176f706a180ac62d6c7840c01f604192#diff-370edfc7aaeadae49c34fd9f60c78db08cd8e5df42929c426a76adabecc8aab6L215
