Repository,QA,CA,DA,IR,OPT,MCG,INTER,SIM,QSE,TEST,VIZ,GLUE,Language,COMMIT INSPECTED
aspuru-guzik-group/tequila,https://github.com/aspuru-guzik-group/tequila/blob/4e9c103218/src/tequila/circuit/circuit.py,https://github.com/aspuru-guzik-group/tequila/blob/4e9c103218/src/tequila/optimizers/optimizer_base.py,https://github.com/aspuru-guzik-group/tequila/blob/4e9c103218/src/tequila/circuit/gradient.py, ,,https://github.com/aspuru-guzik-group/tequila/blob/4e9c103218/src/tequila/circuit/compiler.py,https://github.com/aspuru-guzik-group/tequila/tree/master/src/tequila/simulators, , ,https://github.com/aspuru-guzik-group/tequila/tree/4e9c103218f7263226802204a845a3dd981c1f8e/tests, , ,Python,4e9c103218f7263226802204a845a3dd981c1f8e
aws/amazon-braket-sdk-python,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/circuits/gates.py,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/devices/device.py,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/annealing/problem.py,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/circuits/instruction.py, ,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/circuits/instruction.py,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/aws/aws_device.py, ,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/circuits/observable.py,https://github.com/aws/amazon-braket-sdk-python/tree/8b845135a337c256dceacfd1409fdf2de681b975/test,https://github.com/aws/amazon-braket-sdk-python/blob/8b845135a3/src/braket/circuits/circuit_diagram.py, ,Python,8b845135a337c256dceacfd1409fdf2de681b975
dwavesystems/dwave-system,https://github.com/dwavesystems/dwave-system/blob/f9dc18af65/dwave/embedding/chain_strength.py,https://github.com/dwavesystems/dwave-system/blob/f9dc18af65/dwave/system/composites/virtual_graph.py, ,https://github.com/dwavesystems/dwave-system/blob/f9dc18af65/dwave/embedding/transforms.py, ,https://github.com/dwavesystems/dwave-system/blob/f9dc18af65/dwave/system/schedules.py, , ,https://github.com/dwavesystems/dwave-system/blob/f9dc18af65/dwave/system/samplers/dwave_sampler.py,https://github.com/dwavesystems/dwave-system/tree/f9dc18af655ff22133bdfbb509e170ed559472b7/tests, , ,Python,f9dc18af655ff22133bdfbb509e170ed559472b7
eclipse/xacc,https://github.com/eclipse/xacc/blob/7b7d10bfef/quantum/gate/xacc_quantum_gate_api.cpp,https://github.com/eclipse/xacc/blob/7b7d10bfef/xacc/ir/Graph.hpp, ,https://github.com/eclipse/xacc/tree/7b7d10bfefdf5f1ded5fc417bb9250e185be98ea/quantum/gate/ir,https://github.com/eclipse/xacc/tree/7b7d10bfefdf5f1ded5fc417bb9250e185be98ea/quantum/plugins/optimizers,https://github.com/eclipse/xacc/blob/7b7d10bfef/xacc/compiler/Compiler.hpp,https://github.com/eclipse/xacc/tree/7b7d10bfefdf5f1ded5fc417bb9250e185be98ea/quantum/plugins,https://github.com/eclipse/xacc/blob/7b7d10bfef/xacc/accelerator/NoiseModel.hpp,https://github.com/eclipse/xacc/blob/7b7d10bfef/xacc/accelerator/AcceleratorBuffer.cpp#L362,https://github.com/eclipse/xacc/tree/7b7d10bfefdf5f1ded5fc417bb9250e185be98ea/quantum/gate/ir/tests, , ,"C++, Py",7b7d10bfefdf5f1ded5fc417bb9250e185be98ea
microsoft/qsharp-compiler, ,https://github.com/microsoft/qsharp-compiler/tree/e6c06a3ce3a7fd6c0b7a545051cb9928e6738b85/src/QsCompiler/CompilationManager, ,https://github.com/microsoft/qsharp-compiler/tree/e6c06a3ce3a7fd6c0b7a545051cb9928e6738b85/src/QsCompiler/QirGeneration,https://github.com/microsoft/qsharp-compiler/tree/e6c06a3ce3a7fd6c0b7a545051cb9928e6738b85/src/QsCompiler/Optimizations,https://github.com/microsoft/qsharp-compiler/blob/e6c06a3ce3/src/QsCompiler/Compiler/Compiler.csproj,https://github.com/microsoft/qsharp-compiler/tree/e6c06a3ce3a7fd6c0b7a545051cb9928e6738b85/src/ProjectTemplates, , ,https://github.com/microsoft/qsharp-compiler/tree/e6c06a3ce3a7fd6c0b7a545051cb9928e6738b85/src/QsCompiler/Tests.Compiler, , ,"C#, F#, Q#",e6c06a3ce3a7fd6c0b7a545051cb9928e6738b85
microsoft/qsharp-runtime,https://github.com/microsoft/qsharp-runtime/blob/3efb72b9c4/src/Simulation/Core/Qubit.cs,https://github.com/microsoft/qsharp-runtime/blob/3efb72b9c4/src/Simulation/Core/QArray.cs, , , , , ,https://github.com/microsoft/qsharp-runtime/tree/3efb72b9c4466e467941fa21f6353ad697cf98a2/src/Simulation/Simulators,https://github.com/microsoft/qsharp-runtime/blob/3efb72b9c4/src/Simulation/QSharpCore/Measurement.cs,https://github.com/microsoft/qsharp-runtime/tree/3efb72b9c4466e467941fa21f6353ad697cf98a2/src/Simulation/Simulators.Tests, , ,"C#, C++, Q#",3efb72b9c4466e467941fa21f6353ad697cf98a2
microsoft/QuantumLibraries, ,https://github.com/microsoft/QuantumLibraries/tree/878614a3a74ba715a9a2fb5f0b41787c1214df8a/Numerics,https://github.com/microsoft/QuantumLibraries/tree/878614a3a74ba715a9a2fb5f0b41787c1214df8a/MachineLearning/src, , , , , ,https://github.com/microsoft/QuantumLibraries/tree/878614a3a74ba715a9a2fb5f0b41787c1214df8a/Standard/src/Characterization,https://github.com/microsoft/QuantumLibraries/blob/878614a3a7/Standard/tests/ApplyMultiControlledTests.qs,https://github.com/microsoft/QuantumLibraries/tree/878614a3a74ba715a9a2fb5f0b41787c1214df8a/Visualization, ,Q#,878614a3a74ba715a9a2fb5f0b41787c1214df8a
PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane/blob/e951cfb62c237fdece1c08cd0951993152e6b785/pennylane/_qubit_device.py,https://github.com/PennyLaneAI/pennylane/tree/e951cfb62c237fdece1c08cd0951993152e6b785/pennylane/numpy,https://github.com/PennyLaneAI/pennylane/tree/e951cfb62c237fdece1c08cd0951993152e6b785/pennylane/gradients, , , , ,https://github.com/PennyLaneAI/pennylane/tree/e951cfb62c237fdece1c08cd0951993152e6b785/pennylane/devices,https://github.com/PennyLaneAI/pennylane/blob/e951cfb62c237fdece1c08cd0951993152e6b785/pennylane/measure.py,https://github.com/PennyLaneAI/pennylane/tree/e951cfb62c237fdece1c08cd0951993152e6b785/tests,https://github.com/PennyLaneAI/pennylane/tree/e951cfb62c237fdece1c08cd0951993152e6b785/pennylane/circuit_drawer, ,Python,e951cfb62c237fdece1c08cd0951993152e6b785
ProjectQ-Framework/ProjectQ,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/ops/_gates.py,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/meta/_loop.py, , ,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/cengines/_optimize.py,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/cengines/_linearmapper.py,https://github.com/ProjectQ-Framework/ProjectQ/tree/379d0f98c0b22459a67dc23b8b5f152054e59205/projectq/backends,https://github.com/ProjectQ-Framework/ProjectQ/tree/379d0f98c0b22459a67dc23b8b5f152054e59205/projectq/backends/_sim,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/ops/_gates.py#L393,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/cengines/_basics_test.py,https://github.com/ProjectQ-Framework/ProjectQ/blob/379d0f98c0/projectq/libs/hist/_histogram.py, ,Python,379d0f98c0b22459a67dc23b8b5f152054e59205
QE-Lab/OpenQL,https://github.com/QE-Lab/OpenQL/blob/develop/src/ql/ir/compat/gate.cc,https://github.com/QE-Lab/OpenQL/blob/develop/src/ql/com/ddg/ops.cc, ,https://github.com/QE-Lab/OpenQL/tree/be54ea333f9b2fc76056bf48af4d638e4ebd2f78/src/ql/ir,https://github.com/QE-Lab/OpenQL/blob/f628155b249d2449cd1f1fe62c096a3a08ae4775/src/ql/pass/opt/clifford/optimize.cc,https://github.com/QE-Lab/OpenQL/blob/develop/src/ql/pass/dec/instructions/instructions.cc#L224,https://github.com/QE-Lab/OpenQL/blob/f628155b249d2449cd1f1fe62c096a3a08ae4775/src/ql/arch/cc/info.cc#L658, , ,https://github.com/QE-Lab/OpenQL/tree/develop/tests,https://github.com/QE-Lab/OpenQL/tree/be54ea333f9b2fc76056bf48af4d638e4ebd2f78/src/ql/pass/ana/visualize, ,"C++, Py",be54ea333f9b2fc76056bf48af4d638e4ebd2f78
