repo,commit_hash
aspuru-guzik-group/tequila,4191b7f088236d81fea524fec9bb011c7dac5e05
microsoft/qsharp-runtime,4a5862ffae68159aa0918ec9ed7f955d30a1ade3
QE-Lab/OpenQL,e2410dfc0207373f23cc4c7ec767c4d0a7e9425b
Qiskit/qiskit-terra,a18ef48c8a9fd0182064c81c0e7d79ad1c4c0ee6
Qiskit/qiskit-ignis,824372e18a42a735bbef37cd8ee61bc5d5821f9f
aspuru-guzik-group/tequila,464085265e125222c63e65446861e9c0a2428bab
aspuru-guzik-group/tequila,69c3d3fa43f4ebe79cc73cef79f3ee18677e2344
Qiskit/qiskit-aer,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac
PennyLaneAI/pennylane,614db57b02536bb09fbfbae853ceff8878b928af
microsoft/qsharp-compiler,2dbaea713e9fe1925a4b14483d37c0decaea6ba8
aspuru-guzik-group/tequila,30eba3a9bfcdf2062a2f7808c520d1a7c4bd1236
aspuru-guzik-group/tequila,23927343b54f2fb628af821ef488921af6ad8f46
microsoft/qsharp-compiler,cb553b73f02833f7e9c74fa83ca787b1c0a7e603
Qiskit/qiskit-terra,04f20797eaa1a460e405adb8333508cd73bc448b
aspuru-guzik-group/tequila,afd00a8283f419add5520d64cf337b0ff0467792
aspuru-guzik-group/tequila,fa42275f20e308f7526de85812e126e3df62440c
Qiskit/qiskit-aer,1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad
aspuru-guzik-group/tequila,cf6911e60b863e04c7aee7b12b992632b7b28217
PennyLaneAI/pennylane,1a48733e25caa373966a03dcc0d073420fcd5fed
Qiskit/qiskit-terra,8c80c6edaf0d56a756bcef3aeee6d04196e8fa04
aspuru-guzik-group/tequila,6dcc3fe57f024c7357f179c95e12e9f83ae938c1
aspuru-guzik-group/tequila,998af2a27d94c549f6a8cef96329960473712adb
aspuru-guzik-group/tequila,89783566b6bb8b6f609f1a675d2e1f8d7d5da844
aspuru-guzik-group/tequila,91b58ec423b62881d44b99e0d428f2f65295f37a
aspuru-guzik-group/tequila,35c1023906f8a860449d212e36f70f26ba123002
aspuru-guzik-group/tequila,532e6d0927a5d7f1b60cb953f647ba0cdec366d1
aspuru-guzik-group/tequila,10d40a88e6064bb70c21a66d2d2ad8a09c4ef81a
aws/amazon-braket-sdk-python,26eb82cdb9751153fb2386b0892b6620e57daa49
dwavesystems/dwave-system,e83f632479ec51e425f62305f58ecf284b557a7e
aws/amazon-braket-sdk-python,bf724236a3fcfdc5bab1a3dddf28e983cbf90038
aws/amazon-braket-sdk-python,2d0f8629b6a2802f0dc289a5f48ff181acbfa19f
aws/amazon-braket-sdk-python,c8b148b1bcd32a4af67096f8fb74439e3e1ee6c7
qulacs/qulacs,886e1893a7d5bf041c7c94bf5bb120bec01a64a4
microsoft/QuantumLibraries,7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc
aws/amazon-braket-sdk-python,53b982248557538472c6b2b78475fa278b3e1510
microsoft/qsharp-compiler,c2f8e0e712fc698d93ef9b4991444874a7c04b50
xanaduai/strawberryfields,19b6b634e54fc612e9b92673dd25d2c3e25a09f5
aws/amazon-braket-sdk-python,db7ad3146d97fee147127dbc7c7aaa53f80dad33
aws/amazon-braket-sdk-python,6107ea22e9f14948292541b54518af11d4c8cc04
Qiskit/qiskit-terra,6b6c370725dec7b61618c1d6f1cc62b8cf1a0907
aws/amazon-braket-sdk-python,7e73af431fa8f2fcdd3dbb6fd56da754eb645570
aws/amazon-braket-sdk-python,14beaf3879b6a169d78b6342637d17fbc9c679bb
aws/amazon-braket-sdk-python,6829662f0cdcdd35087d14ac6208db336bc69e2e
PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192
dwavesystems/dwave-system,38629d04e0e33a3a2c69ff5c85938aed49356ce1
ProjectQ-Framework/ProjectQ,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4
microsoft/qsharp-runtime,796dc27a2ec0fb72773aa25ad9057284d9327384
aws/amazon-braket-sdk-python,059034318d10546ea506a058e2c426a55b2274d5
aws/amazon-braket-sdk-python,386948024d125d94a153112aacc5c365562dc27c
aws/amazon-braket-sdk-python,8a4de0e9059fcdf48b10877db765ab3d9d546e7a
aws/amazon-braket-sdk-python,e37cd372c268c6622f04143c6d648d840bd598b0
aws/amazon-braket-sdk-python,008949e1479e377f2748047e33a643f7fcbe9815
aws/amazon-braket-sdk-python,b06e04e03c8889d7da7e36c06fcb57c9749965a9
aws/amazon-braket-sdk-python,dbee8271a9ff0605847270c0f510956f853e3159
aws/amazon-braket-sdk-python,d4d2887ac1d8e18ddc7e92480e00b4c4ede5c077
aws/amazon-braket-sdk-python,f0d89a3e9a98a4224c8a96e846504ed68d79533b
aws/amazon-braket-sdk-python,aec9d4b7902d1f90c0656a30316c9e2581515ffe
aws/amazon-braket-sdk-python,3ecb389be91016149677a36fc2eaaf7dc63cf193
aws/amazon-braket-sdk-python,5515fd93f5d52ad13b2e6c827365952c6a78630a
aws/amazon-braket-sdk-python,b770e78b0f88a2a0d93284862a177a619cee1ebc
aws/amazon-braket-sdk-python,32bf930348c2e37086f554ce3fa1a6077f40322f
aws/amazon-braket-sdk-python,39ebbcb24619d7386607f098c785aa60d6c113fd
aws/amazon-braket-sdk-python,5338b3b9fb88a6d63c3f954e060376ec67cbfdf5
aws/amazon-braket-sdk-python,c109467b71bc9467c34406656f2a1b3bfb880530
aws/amazon-braket-sdk-python,d0a938f33004c03eee6307d131bf004aa5252f9f
aws/amazon-braket-sdk-python,a978a4d75f96a1c2267aeff3420bd1c147bcf6d6
aws/amazon-braket-sdk-python,e5ae0e671b5bdc9f95034b2639173c4fe6cd1e40
aws/amazon-braket-sdk-python,e2d4ac5295c192ec7f10bbe93a734f23592ba1e2
aws/amazon-braket-sdk-python,b2206b812b98af5289a5773eeebdba5ab55989de
aws/amazon-braket-sdk-python,9fba841436b56b94d32b537c44adebbdb735ae82
aws/amazon-braket-sdk-python,4b4081f30e74f083fcaa96decf51b5688bd6b083
aws/amazon-braket-sdk-python,842d761c04ab76b0518b23d7b61e56a5e8b6916e
aws/amazon-braket-sdk-python,a24894cca2444334ed0dce2d761a2d6128340b16
aws/amazon-braket-sdk-python,263dd95ac06aa13b61a628c81bdb3bbf5cab0497
aws/amazon-braket-sdk-python,6ec177e8b9c5c310cb72390acf0359e3c0e90c84
aws/amazon-braket-sdk-python,b38f0c588aacc60fcc88908835a975032d796c6c
aws/amazon-braket-sdk-python,9f99e29b99aefbc1d7c2b69ed9c67ba7c39c2933
aws/amazon-braket-sdk-python,4c7c3b28e5a17b8f0cddf94377b7734fcbe2ebfc
aws/amazon-braket-sdk-python,30dcec09ee6aa70d0aac30917f132dbd38bf7b6a
aws/amazon-braket-sdk-python,3dcd965d17fae52218ee513a2b9638a4b043a444
dwavesystems/dwave-system,91a5b5ccd746906b701fe22adca0bd5716f79a47
dwavesystems/dwave-system,ee07960385d9ccb69de134767400220b252cde9a
PennyLaneAI/pennylane,105bc044a0a35684ec961310aca212d49ba5c451
dwavesystems/dwave-system,d043ddc834f99e7c5f3f5b82f1836a08ed3de2db
dwavesystems/dwave-system,e3a8da83d8c312316c4b9d17666aa93a144457d9
dwavesystems/dwave-system,f6c81c99d0f6e870f2a6d40c4db64520757d04bb
dwavesystems/dwave-system,7c5b381a08e2b09f7d71307b9d55ba96b6a63bde
dwavesystems/dwave-system,fd1d5936ffa5ae3fa2539e619202c3f0e07fd64d
dwavesystems/dwave-system,e36e0baf28c82594b88607680931f006ef624886
dwavesystems/dwave-system,8731624ef7b8365ccca17204db18779f125609a3
Qiskit/qiskit-aer,6e4b479700f04ccf1a421b819e88fc2218dcdbd3
dwavesystems/dwave-system,2b38b2707d3c74a6990ba4018fbbc9d1a347ff2b
Qiskit/qiskit-terra,c00602aadf4062b65ab3862fb729a85b20bf004b
aws/amazon-braket-sdk-python,3ddde05e03643a867c6b4266d835d00ea57c9d67
rigetti/pyquil,b6ef90d22065c0b9c87788477a04f8b38f56c2eb
dwavesystems/dwave-system,a39b47b1de3a1c85c39003551034721930e2c468
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe
PennyLaneAI/pennylane,ef87a8cf35accfbb556fab13210288f9c46b358b
PennyLaneAI/pennylane,c9745b96717854aeba77ba9b43e8144115f63a28
dwavesystems/dwave-system,637a3c1823d608e24c04ee355ae43b2590388216
dwavesystems/dwave-system,841a9b8cb60640f2f0947378a3b6d6d5162c30c3
dwavesystems/dwave-system,13f601125007d0332edb312c8ba8beaba117ae0a
dwavesystems/dwave-system,21be9a868a156cb3d8f929285d67470331da8ad8
dwavesystems/dwave-system,95e63f1fef6b80f52683bbf32ce731ce285471e5
dwavesystems/dwave-system,fb385413870b0e324dc6324f89a19ee9e9f95eb6
dwavesystems/dwave-system,4ccce99e1aa493c0945cb4638f089d13406a8ba0
dwavesystems/dwave-system,14eb8b44140ac798abbb00fa38180afe2dd3eed3
dwavesystems/dwave-system,d25a8fc12a3eb76155f5309b7eac7e4103fd671c
dwavesystems/dwave-system,93d774631f42796cc1e31b50284774741e55462e
dwavesystems/dwave-system,c46ffdf97f677ecc2efb07171db15a12838d7ee6
dwavesystems/dwave-system,40e0fead1fd22b039103c07ac8173f6a174bad36
dwavesystems/dwave-system,aa24090dd20aaed2a7b22b17fef8f51fa553648a
dwavesystems/dwave-system,dcfe402f7c8e0ac221b5e063bca26399ca88a0ee
dwavesystems/dwave-system,a8e0b3b0e6a12941d224abfa389d463aafc127e9
dwavesystems/dwave-system,bc556e60be959d2b563ea3b03a4c18088b1d4ab3
dwavesystems/dwave-system,ead9ff3fecd661f53c0b823a5a23da1f2b55d984
dwavesystems/dwave-system,6156628a90a22e19eb47008a33b9d02c97053dcb
ProjectQ-Framework/ProjectQ,0e2113b64d616ec303bfff22a38af05a74583bbe
Qiskit/qiskit-aer,cf5d8027d5a70f45751f1369f548b65c666442e1
Qiskit/qiskit-aer,20c3b06c2464ce0342a920dfbe91c6a496707f7f
rigetti/pyquil,279a29b432a6c12d013b26201fc53410fca4f48d
microsoft/qsharp-runtime,37f2dbec543357b574140f94760e162635de893a
microsoft/qsharp-runtime,4a3eca470d79a0bb79e6beb270155f1d5bf3cc25
microsoft/qsharp-compiler,3ffd626b249f836369054cc1aa9e5d2f8aadfe0b
microsoft/qsharp-compiler,1af31ba43561e9cbfa99be70e633f6d39a4fa71e
QE-Lab/OpenQL,9a443a2ddd15349d2750edcf5b9cbbbef82e5929
xanaduai/strawberryfields,c7173f9052a1166bc1a205141033e98331cf0de9
microsoft/qsharp-compiler,4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c
QE-Lab/OpenQL,39c9098df670306bb5a37c5006c7b9340252bef7
eclipse/xacc,e9abcf28135a2ffe0ede64b19050d5d9318588b7
microsoft/qsharp-compiler,ed60c81e5192cddd5f7342c08a1c00d392473127
eclipse/xacc,218711d975427b2622b6245b6e82baa1993a305f
rigetti/pyquil,b9f050c6e33a036c10d6f984c3f0b0f29836d2e0
quantumlib/Cirq,18c97b3fc3f776a830b25871aabc2b6b1255b301
quantumlib/Cirq,7c8c959e5e4b90f857cd1539279c51d30224033c
xanaduai/strawberryfields,dd7668c30c0e20730ea1d80cab91c7247e71af5f
qulacs/qulacs,0e6c4b22678effed137333d376474c06207114e4
eclipse/xacc,67720d046de88533304b0162e58d623017039134
